SetName,Department,Floor
Neuro Trimline Anterior Cervical Dissectomy & Fusion Instrument Set,NEURO,3rd Floor
SEEG KIT SET For Neuro,NEURO,3rd Floor
Stereo Tactic MPS-ARCH Tray,NEURO,3rd Floor
Steriotactic Biopsy Needle Kit,NEURO,3rd Floor
Steriotactic System Model G- Grame set,NEURO,3rd Floor
Stryker Neuro Electrical Drill System,NEURO,3rd Floor
Stryker Pneumatic System Neuro,NEURO,3rd Floor
Tumor Holding Forcep Set (Long) - Neuro (Aesculap),NEURO,3rd Floor
Tumor Holding Forcep Set (Short) - Neuro (Aesculap),NEURO,3rd Floor
Neuro Quadrant Retractor System,NEURO,3rd Floor
Neuro Tracheostomy Set,NEURO,3rd Floor
Twist Drill Craniology Set,NEURO,3rd Floor
Basic Instruments For Ortho Spine Surgery Set,ORTHO SPINE,3rd Floor
Micro Instrument Set Orthospine Cervical,ORTHO SPINE,3rd Floor
Micro Instrument Set for Orthospine Lumbar,ORTHO SPINE,3rd Floor
Ortho Spine Extras Set,ORTHO SPINE,3rd Floor
Medtronic Drill System Ortho,ORTHO SPINE,3rd Floor
Metrx Quadrant Retractor System (Orthospine) Part.,ORTHO SPINE,3rd Floor
Orthospine Surgery Set For Dr. Abhijeet Pawar,ORTHO SPINE,3rd Floor
Cervical Spine Set / Orthospine Lumbar Set,ORTHO SPINE,3rd Floor
Orthospine Black Lumbar Kerrison Punch Set (Medtronic),ORTHO SPINE,3rd Floor
Spine Navigation set Medtronic (NAVLOCK) /(TAPS G DRIVER),ORTHO SPINE,3rd Floor
Spine Navigation set Medtronic (REFERENCING)/(TACTILE PROBE),ORTHO SPINE,3rd Floor
Spine Navigation set MedtroniC (UNIVERSEL DRILL GUIDE),ORTHO SPINE,3rd Floor
Spine Navigation set Medtronic (VERTEX SELECT NST.),ORTHO SPINE,3rd Floor
Thompson MIS Spine Sets (Assessories Set / PLA Dilator Set),ORTHO SPINE,3rd Floor
Thompson MIS Spine Sets (Frame Set No.1 / Frame Set No.2),ORTHO SPINE,3rd Floor
MEDTRONIC SURE TRAK SET,ORTHO SPINE,3rd Floor
Disc Forcep Set (Gesco) Orthospine For Dr. Abhijeet Pawar,ORTHO SPINE,3rd Floor
Disc Forceps Set( Gesco ) For Orthospine 2mm,3mm,4mm,ORTHO SPINE,3rd Floor
Bayonate Kerrison Punch Set (Rebstock) For Dr. Abhijeet Pawar,ORTHO SPINE,3rd Floor
Orthospine Kerrison Punch Set,ORTHO SPINE,3rd Floor
